feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_molp,CD1b_molp,CD1c_molp,CD1d_molp
PC 16:1;0_21:1;0,PC,GPL,MEM,37,2,0,NA,NA,NA,0.02744276
PC 17:0;0_20:2;0,PC,GPL,MEM,37,2,0,0.0132992367203012,0.01536842,0.0217138448551678,0.009750157
PC 17:1;0_20:1;0,PC,GPL,MEM,37,2,0,0.0643868677864102,0.049906597,0.0325512674359728,0.043726519
PC 18:0;0_19:2;0,PC,GPL,MEM,37,2,0,0.00647756826699388,NA,NA,NA
PC 18:1;0_19:1;0,PC,GPL,MEM,37,2,0,0.210241271400231,0.126572204,0.114695460035486,0.128289729
PC 17:0;0_20:3;0,PC,GPL,MEM,37,3,0,0.00383366428573028,NA,NA,0.001802336
PC 17:1;0_20:2;0,PC,GPL,MEM,37,3,0,0.00649859504302553,NA,NA,0.001171146
PC 18:1;0_19:2;0,PC,GPL,MEM,37,3,0,0.0209747438512235,NA,NA,0.013140713
PC 18:2;0_19:1;0,PC,GPL,MEM,37,3,0,NA,NA,NA,5.91548e-4
PC 17:0;0_20:5;0,PC,GPL,MEM,37,5,0,NA,NA,NA,NA
PC 14:0;0_24:1;0,PC,GPL,MEM,38,1,0,0.0109474796602612,NA,NA,0.02212821
PC 16:0;0_22:1;0,PC,GPL,MEM,38,1,0,0.0575066381569099,0.039425969,0.0228151038237474,0.041396127
PC 16:1;0_22:0;0,PC,GPL,MEM,38,1,0,0.0478010288979578,NA,0.0165836962830429,0.041787326
PC 17:0;0_21:1;0,PC,GPL,MEM,38,1,0,0.00405982466328275,NA,NA,0.002027328
PC 18:0;0_20:1;0,PC,GPL,MEM,38,1,0,NA,0.032164562,NA,NA
PC 18:1;0_20:0;0,PC,GPL,MEM,38,1,0,0.191717847132765,NA,0.0441963569083174,0.044000285
PC 14:0;0_24:2;0,PC,GPL,MEM,38,2,0,NA,NA,NA,0.011652301
PC 16:0;0_22:2;0,PC,GPL,MEM,38,2,0,0.0302770151401931,NA,0.0251734819688921,0.026884305
PC 16:1;0_22:1;0,PC,GPL,MEM,38,2,0,0.298669712975328,0.042418556,0.0680428510232801,0.255689284
PC 18:0;0_20:2;0,PC,GPL,MEM,38,2,0,0.056154280951336,0.028054727,0.0137501178603466,0.011872492
PC 18:1;0_20:1;0,PC,GPL,MEM,38,2,0,1.47539385316706,0.449640555,0.407424719327765,0.688868953
PC 18:2;0_20:0;0,PC,GPL,MEM,38,2,0,NA,NA,NA,NA
PC 16:0;0_22:3;0,PC,GPL,MEM,38,3,0,0.00550718594948948,NA,NA,0.006992892
PC 16:1;0_22:2;0,PC,GPL,MEM,38,3,0,0.0134733086444591,NA,NA,0.024054385
PC 16:2;0_22:1;0,PC,GPL,MEM,38,3,0,NA,NA,NA,NA
PC 18:0;0_20:3;0,PC,GPL,MEM,38,3,0,0.0214571862921043,0.013424648,NA,0.006259064
PC 18:1;0_20:2;0,PC,GPL,MEM,38,3,0,0.147484638714944,0.058027824,0.0414820795539378,0.06592779
PC 18:2;0_20:1;0,PC,GPL,MEM,38,3,0,0.0226572588670103,0.00847717,0.00900524156178526,0.011778394
PC 18:1;0_20:3;0,PC,GPL,MEM,38,4,0,0.0531350506161927,NA,NA,0.020690227
PC 18:2;0_20:2;0,PC,GPL,MEM,38,4,0,NA,NA,NA,NA
PC 15:0;0_24:1;0,PC,GPL,MEM,39,1,0,0.00671873354744611,NA,0.0151051631442433,0.056125451
PC 17:0;0_22:1;0,PC,GPL,MEM,39,1,0,0.0198783547124966,NA,0.0114675458817289,0.019345318
PC 17:1;0_22:0;0,PC,GPL,MEM,39,1,0,0.00248686961273056,NA,NA,0.004930616
PC 18:0;0_21:1;0,PC,GPL,MEM,39,1,0,0.00394774989590114,NA,NA,NA
PC 18:1;0_21:0;0,PC,GPL,MEM,39,1,0,0.0202342089558493,NA,NA,NA
PC 19:0;0_20:1;0,PC,GPL,MEM,39,1,0,0.00486420107016238,NA,NA,NA
PC 15:0;0_24:2;0,PC,GPL,MEM,39,2,0,NA,NA,NA,0.005247409
PC 16:1;0_23:1;0,PC,GPL,MEM,39,2,0,NA,NA,NA,0.040762233
