feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_pmol,CD1b_pmol,CD1c_pmol,CD1d_pmol
PC 16:2;0_20:1;0,PC,GPL,MEM,36,3,0,NA,NA,NA,0.169265002
PC 17:0;0_19:3;0,PC,GPL,MEM,36,3,0,NA,NA,NA,NA
PC 18:0;0_18:3;0,PC,GPL,MEM,36,3,0,0.361074000597,NA,NA,NA
PC 18:1;0_18:2;0,PC,GPL,MEM,36,3,0,15.4890003204346,0.966008008,14.0073003768921,12.20950031
PC 16:1;0_20:3;0,PC,GPL,MEM,36,4,0,0.244378998875618,NA,NA,NA
PC 18:1;0_18:3;0,PC,GPL,MEM,36,4,0,1.23921000957489,NA,NA,NA
PC 13:0;0_24:1;0,PC,GPL,MEM,37,1,0,0.314060002565384,NA,NA,0.389315009
PC 15:0;0_22:1;0,PC,GPL,MEM,37,1,0,2.86223006248474,0.078173801,1.75655996799469,4.128250122
PC 16:0;0_21:1;0,PC,GPL,MEM,37,1,0,0.93181300163269,NA,NA,0.840956986
PC 16:1;0_21:0;0,PC,GPL,MEM,37,1,0,NA,NA,NA,0.99128902
PC 17:0;0_20:1;0,PC,GPL,MEM,37,1,0,5.83827018737793,0.214144006,4.83303022384644,3.693380117
PC 17:1;0_20:0;0,PC,GPL,MEM,37,1,0,0.462924987077713,NA,NA,NA
PC 18:0;0_19:1;0,PC,GPL,MEM,37,1,0,0.957733988761902,0.154328004,2.12948989868164,0.475535005
PC 18:1;0_19:0;0,PC,GPL,MEM,37,1,0,9.5644998550415,0.299394011,8.69795036315918,5.499420166
PC 15:0;0_22:2;0,PC,GPL,MEM,37,2,0,0.474907010793686,NA,NA,0.737141013
PC 16:1;0_21:1;0,PC,GPL,MEM,37,2,0,NA,NA,NA,1.960710049
PC 17:0;0_20:2;0,PC,GPL,MEM,37,2,0,1.19032001495361,0.116770998,3.47458004951477,0.696622014
PC 17:1;0_20:1;0,PC,GPL,MEM,37,2,0,5.76281023025513,0.379195988,5.20874977111816,3.124140024
PC 18:0;0_19:2;0,PC,GPL,MEM,37,2,0,0.579761028289795,NA,NA,NA
PC 18:1;0_19:1;0,PC,GPL,MEM,37,2,0,18.8171997070312,0.961709976,18.3532009124756,9.165949821
PC 17:0;0_20:3;0,PC,GPL,MEM,37,3,0,0.343124002218246,NA,NA,0.128772005
PC 17:1;0_20:2;0,PC,GPL,MEM,37,3,0,0.581642985343933,NA,NA,0.083675198
PC 18:1;0_19:2;0,PC,GPL,MEM,37,3,0,1.87730002403259,NA,NA,0.938867986
PC 18:2;0_19:1;0,PC,GPL,MEM,37,3,0,NA,NA,NA,0.042264499
PC 17:0;0_20:5;0,PC,GPL,MEM,37,5,0,NA,NA,NA,NA
PC 14:0;0_24:1;0,PC,GPL,MEM,38,1,0,0.979830980300903,NA,NA,1.58099997
PC 16:0;0_22:1;0,PC,GPL,MEM,38,1,0,5.14700984954834,0.299562991,3.65079998970032,2.957639933
PC 16:1;0_22:0;0,PC,GPL,MEM,38,1,0,4.27832984924316,NA,2.65367007255554,2.985589981
PC 17:0;0_21:1;0,PC,GPL,MEM,38,1,0,0.363366007804871,NA,NA,0.144847006
